stop_id,hour,day_of_week,avg_occupancy,trip_count,latitude,longitude,is_weekend,is_rush_hour,demand_score
S10,11,3,0.8,1,5.678879877480711,-0.3498634986984438,0,0,16.0
S10,15,3,0.2,1,5.680869255163986,-0.3489613817711236,0,0,4.0
S10,19,1,0.8,1,5.679052342974067,-0.3519377576047043,0,1,16.0
S100,5,6,0.8,1,5.540292686292607,-0.4004074213094856,1,0,16.0
S100,6,0,0.2,1,5.539407452356041,-0.39940778358867807,0,0,4.0
S100,6,6,0.2,1,5.537487162155368,-0.4013734467619101,1,0,4.0
S100,7,5,0.2,1,5.5380450044201215,-0.39942012990327624,1,1,4.0
S100,7,6,0.2,1,5.537908189389103,-0.3989214434406555,1,1,4.0
S100,8,4,0.2,1,5.537220632295889,-0.39996213408274445,0,1,4.0
S100,8,6,0.5,1,5.538388183279754,-0.40240166268069316,1,1,10.0
S100,9,4,0.5,1,5.539067018390678,-0.40143160320995613,0,1,10.0
S100,11,1,0.5,1,5.5390613039483,-0.40083991703067073,0,0,10.0
S100,12,0,0.5,1,5.537306801977565,-0.4005240216777302,0,0,10.0
S100,12,5,0.8,1,5.538445451188103,-0.4000719679823262,1,0,16.0
S100,13,2,0.2,1,5.540242565348241,-0.4000371510696635,0,0,4.0
S100,14,1,0.2,1,5.538486239147905,-0.399852726214027,0,0,4.0
S100,14,4,1.0,1,5.537954667081838,-0.40218055901063277,0,0,20.0
S100,15,1,0.5,1,5.538972158593936,-0.4010613038662195,0,0,10.0
S100,15,4,0.8,1,5.5377918845177545,-0.40066321189187587,0,0,16.0
S100,16,5,0.2,1,5.538215636543834,-0.3998184451058176,1,0,4.0
S100,16,6,0.5,1,5.537551166974746,-0.40005988334370796,1,0,10.0
S100,19,5,0.8,1,5.537500970918453,-0.4012576846892939,1,1,16.0
S100,20,2,1.0,1,5.53857300726277,-0.4017489720702085,0,0,20.0
S100,20,3,0.5,1,5.539464516130996,-0.40041827289856,0,0,10.0
S100,20,5,1.0,1,5.537080501254384,-0.4006495234496847,1,0,20.0
S100,21,4,0.35,2,5.5374296986162355,-0.3988719464696651,0,0,14.0
S1000,5,0,0.8,1,5.535090167613449,-0.23566144668538241,0,0,16.0
